trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,83,82,down,0.005,db,0.046851123,0.0006707,216.448044,216.448044,216.7479866,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,84,83,down,0.005,db,0.046851123,0.0006986,218.8979822,218.8979822,219.1977483,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,85,84,down,0.005,db,0.046824161,0.0006163,221.3811407,221.3811407,221.6811358,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,86,85,down,0.005,db,0.046824161,0.0006281,223.7810356,223.7810356,224.0809306,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,87,86,down,0.005,db,0.046824161,0.0007085,226.4308661,226.4308661,226.7308741,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,88,87,down,0.005,db,0.046797215,0.0006302,228.8142192,228.8142192,229.1138952,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,89,88,down,0.005,db,0.046797215,0.0006343,231.2139625,231.2139625,231.5138382,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,90,89,down,0.005,db,0.046797215,0.0006963,233.6139698,233.6139698,233.9140281,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,91,90,down,0.005,db,0.046770284,0.0006674,236.0303403,236.0303403,236.3301544,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,92,91,down,0.005,db,0.046770284,0.0006751,238.5133703,238.5133703,238.8132215,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,93,92,down,0.005,db,0.046770284,0.0006339,240.9965762,240.9965762,241.2968012,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
